Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1ac00,3321,12.535,70381,687,0.016,0.012,2015,1ac00,3321,12.535,70381,687,0.016,0.012
2015,1ac01,5381,12.370,135951,815,-0.054,-0.003,2015,1ac01,5381,12.370,135951,815,-0.054,-0.003
2015,1am00,27475,12.756,704162,2771,-0.043,-0.009,2015,1am00,27475,12.756,704162,2771,-0.043,-0.009
2015,1am01,1898,12.880,31753,488,-0.028,0.001,2015,1am01,1898,12.880,31753,488,-0.028,0.001
2015,1am02,4679,12.910,104204,857,-0.025,0.005,2015,1am02,4679,12.910,104204,857,-0.025,0.005
2015,1am03,3745,12.903,74549,969,-0.050,-0.002,2015,1am03,3745,12.903,74549,969,-0.050,-0.002
2015,1ap00,914,12.726,16031,127,-0.017,-0.010,2015,1ap00,914,12.726,16031,127,-0.017,-0.010
2015,1ap01,6829,12.505,160542,593,-0.029,-0.008,2015,1ap01,6829,12.505,160542,593,-0.029,-0.008
2015,1pa00,10024,12.716,211490,1635,-0.020,-0.007,2015,1pa00,10024,12.716,211490,1635,-0.020,-0.007
2015,1pa01,6993,12.700,150306,1292,-0.021,0.003,2015,1pa01,6993,12.700,150306,1292,-0.021,0.003
2015,1pa02,17961,13.001,485347,1365,-0.041,-0.019,2015,1pa02,17961,13.001,485347,1365,-0.041,-0.019
2015,1pa03,20437,12.833,473580,3409,-0.011,-0.010,2015,1pa03,20437,12.833,473580,3409,-0.011,-0.010
2015,1pa04,15687,12.682,394393,1640,-0.026,-0.004,2015,1pa04,15687,12.682,394393,1640,-0.026,-0.004
2015,1pa05,5452,12.544,120307,882,-0.012,-0.000,2015,1pa05,5452,12.544,120307,882,-0.012,-0.000
2015,1ro00,8795,12.091,199306,637,-0.046,-0.018,2015,1ro00,8795,12.091,199306,637,-0.046,-0.018
2015,1ro01,5800,12.090,142811,462,-0.020,0.004,2015,1ro01,5800,12.090,142811,462,-0.020,0.004
2015,1rr00,4422,12.182,93588,518,-0.026,0.010,2015,1rr00,4422,12.182,93588,518,-0.026,0.010
2015,1rr01,1100,12.164,21058,151,-0.003,-0.007,2015,1rr01,1100,12.164,21058,151,-0.003,-0.007
2015,1to00,8535,12.417,196381,884,-0.019,-0.016,2015,1to00,8535,12.417,196381,884,-0.019,-0.016
