Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1ac0000,2098,12.440,44601,391,0.006,0.010,2015,1ac0000,2098,12.440,44601,391,0.006,0.010
2015,1ac0001,1223,12.699,25780,296,0.032,0.017,2015,1ac0001,1223,12.699,25780,296,0.032,0.017
2015,1ac0100,715,12.407,15684,207,-0.005,-0.002,2015,1ac0100,715,12.407,15684,207,-0.005,-0.002
2015,1ac0101,3950,12.303,105125,370,-0.067,-0.005,2015,1ac0101,3950,12.303,105125,370,-0.067,-0.005
2015,1ac0102,716,12.797,15142,238,-0.010,0.010,2015,1ac0102,716,12.797,15142,238,-0.010,0.010
2015,1am0000,2227,13.026,42767,406,-0.038,-0.003,2015,1am0000,2227,13.026,42767,406,-0.038,-0.003
2015,1am0001,2019,13.045,43199,294,-0.022,-0.005,2015,1am0001,2019,13.045,43199,294,-0.022,-0.005
2015,1am0002,17884,12.662,505161,1202,-0.048,-0.012,2015,1am0002,17884,12.662,505161,1202,-0.048,-0.012
2015,1am0003,3554,13.171,70826,612,-0.032,-0.005,2015,1am0003,3554,13.171,70826,612,-0.032,-0.005
2015,1am0004,577,12.918,13915,47,-0.042,0.011,2015,1am0004,577,12.918,13915,47,-0.042,0.011
2015,1am0005,1214,12.485,28294,210,-0.028,0.006,2015,1am0005,1214,12.485,28294,210,-0.028,0.006
2015,1am0100,501,13.294,7339,134,-0.011,0.001,2015,1am0100,501,13.294,7339,134,-0.011,0.001
2015,1am0101,1397,12.756,24414,354,-0.033,0.001,2015,1am0101,1397,12.756,24414,354,-0.033,0.001
2015,1am0200,3130,13.105,69336,535,-0.012,0.011,2015,1am0200,3130,13.105,69336,535,-0.012,0.011
2015,1am0201,1549,12.522,34868,322,-0.050,-0.006,2015,1am0201,1549,12.522,34868,322,-0.050,-0.006
2015,1am0300,688,12.657,12899,182,-0.051,-0.005,2015,1am0300,688,12.657,12899,182,-0.051,-0.005
2015,1am0301,2185,12.899,43099,512,-0.048,-0.000,2015,1am0301,2185,12.899,43099,512,-0.048,-0.000
2015,1am0302,872,13.086,18551,275,-0.056,-0.005,2015,1am0302,872,13.086,18551,275,-0.056,-0.005
2015,1ap0000,414,12.311,7069,65,0.003,-0.015,2015,1ap0000,414,12.311,7069,65,0.003,-0.015
2015,1ap0001,500,13.053,8962,62,-0.033,-0.006,2015,1ap0001,500,13.053,8962,62,-0.033,-0.006
2015,1ap0100,5747,12.504,139888,435,-0.034,-0.008,2015,1ap0100,5747,12.504,139888,435,-0.034,-0.008
2015,1ap0101,1082,12.509,20654,158,0.001,-0.010,2015,1ap0101,1082,12.509,20654,158,0.001,-0.010
2015,1pa0000,1149,13.881,23113,207,-0.003,-0.003,2015,1pa0000,1149,13.881,23113,207,-0.003,-0.003
2015,1pa0001,2299,12.467,50800,351,-0.020,-0.008,2015,1pa0001,2299,12.467,50800,351,-0.020,-0.008
2015,1pa0002,6576,12.613,137577,1077,-0.022,-0.008,2015,1pa0002,6576,12.613,137577,1077,-0.022,-0.008
2015,1pa0100,1889,12.569,38726,333,-0.026,0.000,2015,1pa0100,1889,12.569,38726,333,-0.026,0.000
2015,1pa0101,3184,12.752,69397,614,-0.032,-0.003,2015,1pa0101,3184,12.752,69397,614,-0.032,-0.003
2015,1pa0102,1920,12.733,42183,345,0.002,0.014,2015,1pa0102,1920,12.733,42183,345,0.002,0.014
2015,1pa0200,15188,12.987,412119,1047,-0.044,-0.020,2015,1pa0200,15188,12.987,412119,1047,-0.044,-0.020
2015,1pa0201,2773,13.075,73228,318,-0.024,-0.012,2015,1pa0201,2773,13.075,73228,318,-0.024,-0.012
2015,1pa0300,4138,12.954,99120,651,0.002,-0.011,2015,1pa0300,4138,12.954,99120,651,0.002,-0.011
2015,1pa0301,5341,12.743,120965,743,-0.021,-0.010,2015,1pa0301,5341,12.743,120965,743,-0.021,-0.010
2015,1pa0302,4817,12.666,108470,946,-0.019,-0.008,2015,1pa0302,4817,12.666,108470,946,-0.019,-0.008
2015,1pa0303,2831,13.032,63599,473,-0.018,-0.019,2015,1pa0303,2831,13.032,63599,473,-0.018,-0.019
2015,1pa0304,3310,12.886,81426,596,0.005,-0.001,2015,1pa0304,3310,12.886,81426,596,0.005,-0.001
2015,1pa0400,1105,12.944,26168,106,-0.025,-0.021,2015,1pa0400,1105,12.944,26168,106,-0.025,-0.021
2015,1pa0401,2996,12.893,73366,326,-0.043,-0.004,2015,1pa0401,2996,12.893,73366,326,-0.043,-0.004
2015,1pa0402,2305,12.649,63289,258,-0.038,-0.023,2015,1pa0402,2305,12.649,63289,258,-0.038,-0.023
2015,1pa0403,3002,12.336,80352,194,-0.002,0.053,2015,1pa0403,3002,12.336,80352,194,-0.002,0.053
