Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1ac000000,1086,12.402,26091,161,0.016,0.012,2015,1ac000000,1086,12.402,26091,161,0.016,0.012
2015,1ac000001,236,12.335,4891,42,0.030,0.017,2015,1ac000001,236,12.335,4891,42,0.030,0.017
2015,1ac000002,311,12.605,5616,73,-0.003,-0.012,2015,1ac000002,311,12.605,5616,73,-0.003,-0.012
2015,1ac000003,180,12.152,3323,46,-0.046,0.019,2015,1ac000003,180,12.152,3323,46,-0.046,0.019
2015,1ac000004,285,12.773,4680,69,-0.019,0.013,2015,1ac000004,285,12.773,4680,69,-0.019,0.013
2015,1ac000100,438,12.830,9729,135,0.040,0.018,2015,1ac000100,438,12.830,9729,135,0.040,0.018
2015,1ac000101,185,13.482,3150,68,0.015,0.019,2015,1ac000101,185,13.482,3150,68,0.015,0.019
2015,1ac000102,600,12.409,12901,93,0.030,0.015,2015,1ac000102,600,12.409,12901,93,0.030,0.015
2015,1ac010000,142,12.960,2658,61,0.027,0.027,2015,1ac010000,142,12.960,2658,61,0.027,0.027
2015,1ac010001,237,12.224,5738,67,0.008,0.001,2015,1ac010001,237,12.224,5738,67,0.008,0.001
2015,1ac010002,134,12.399,3333,17,-0.028,-0.019,2015,1ac010002,134,12.399,3333,17,-0.028,-0.019
2015,1ac010003,202,12.308,3955,62,-0.024,-0.008,2015,1ac010003,202,12.308,3955,62,-0.024,-0.008
2015,1ac010100,140,12.165,3241,15,-0.048,-0.018,2015,1ac010100,140,12.165,3241,15,-0.048,-0.018
2015,1ac010101,146,12.414,2692,36,-0.025,0.011,2015,1ac010101,146,12.414,2692,36,-0.025,0.011
2015,1ac010102,106,12.486,2762,16,0.010,0.010,2015,1ac010102,106,12.486,2762,16,0.010,0.010
2015,1ac010103,189,12.171,4036,26,-0.055,-0.034,2015,1ac010103,189,12.171,4036,26,-0.055,-0.034
2015,1ac010104,204,12.545,4784,33,-0.036,0.028,2015,1ac010104,204,12.545,4784,33,-0.036,0.028
2015,1ac010105,2886,12.315,81817,213,-0.080,-0.006,2015,1ac010105,2886,12.315,81817,213,-0.080,-0.006
2015,1ac010106,279,11.969,5793,31,0.021,0.007,2015,1ac010106,279,11.969,5793,31,0.021,0.007
2015,1ac010200,102,12.344,2608,32,-0.009,0.036,2015,1ac010200,102,12.344,2608,32,-0.009,0.036
2015,1ac010201,133,14.827,2279,54,0.071,0.017,2015,1ac010201,133,14.827,2279,54,0.071,0.017
2015,1ac010202,481,12.460,10255,152,-0.026,0.002,2015,1ac010202,481,12.460,10255,152,-0.026,0.002
2015,1am000000,170,12.945,2841,28,-0.023,-0.004,2015,1am000000,170,12.945,2841,28,-0.023,-0.004
2015,1am000001,162,12.452,3187,27,0.003,-0.020,2015,1am000001,162,12.452,3187,27,0.003,-0.020
2015,1am000002,341,13.685,6872,78,0.035,0.038,2015,1am000002,341,13.685,6872,78,0.035,0.038
2015,1am000003,202,12.772,3260,46,-0.005,0.014,2015,1am000003,202,12.772,3260,46,-0.005,0.014
2015,1am000004,1023,13.056,21102,171,-0.070,-0.013,2015,1am000004,1023,13.056,21102,171,-0.070,-0.013
2015,1am000005,329,12.611,5505,56,-0.041,-0.002,2015,1am000005,329,12.611,5505,56,-0.041,-0.002
2015,1am000100,1118,12.821,25592,156,-0.015,-0.003,2015,1am000100,1118,12.821,25592,156,-0.015,-0.003
2015,1am000101,132,13.508,2753,25,-0.015,0.004,2015,1am000101,132,13.508,2753,25,-0.015,0.004
2015,1am000102,421,13.732,7980,65,-0.014,-0.004,2015,1am000102,421,13.732,7980,65,-0.014,-0.004
2015,1am000103,151,13.178,2629,13,-0.064,-0.008,2015,1am000103,151,13.178,2629,13,-0.064,-0.008
2015,1am000104,197,12.721,4245,35,-0.058,-0.016,2015,1am000104,197,12.721,4245,35,-0.058,-0.016
2015,1am000200,492,12.972,10742,53,-0.014,0.019,2015,1am000200,492,12.972,10742,53,-0.014,0.019
2015,1am000201,429,13.240,8497,48,-0.006,0.009,2015,1am000201,429,13.240,8497,48,-0.006,0.009
2015,1am000202,303,13.430,5074,53,-0.020,-0.014,2015,1am000202,303,13.430,5074,53,-0.020,-0.014
2015,1am000203,655,12.803,13855,71,-0.020,0.017,2015,1am000203,655,12.803,13855,71,-0.020,0.017
2015,1am000204,980,12.641,26011,157,-0.033,-0.008,2015,1am000204,980,12.641,26011,157,-0.033,-0.008
2015,1am000205,283,13.431,4647,42,-0.055,-0.007,2015,1am000205,283,13.431,4647,42,-0.055,-0.007
2015,1am000206,14742,12.622,436335,778,-0.052,-0.014,2015,1am000206,14742,12.622,436335,778,-0.052,-0.014
2015,1am000300,533,13.049,10413,102,0.014,0.015,2015,1am000300,533,13.049,10413,102,0.014,0.015
2015,1am000301,252,13.247,4826,49,-0.017,0.024,2015,1am000301,252,13.247,4826,49,-0.017,0.024
2015,1am000302,868,13.556,16203,188,-0.020,-0.005,2015,1am000302,868,13.556,16203,188,-0.020,-0.005
2015,1am000303,258,13.019,4704,63,-0.046,-0.020,2015,1am000303,258,13.019,4704,63,-0.046,-0.020
2015,1am000304,1319,12.922,27915,156,-0.057,-0.015,2015,1am000304,1319,12.922,27915,156,-0.057,-0.015
2015,1am000305,133,13.618,2612,22,-0.007,-0.003,2015,1am000305,133,13.618,2612,22,-0.007,-0.003
2015,1am000306,191,13.441,4153,32,-0.025,-0.007,2015,1am000306,191,13.441,4153,32,-0.025,-0.007
2015,1am000400,368,13.071,8161,29,-0.062,0.010,2015,1am000400,368,13.071,8161,29,-0.062,0.010
2015,1am000401,209,12.702,5754,18,-0.012,0.013,2015,1am000401,209,12.702,5754,18,-0.012,0.013
2015,1am000500,207,12.656,4487,54,-0.035,-0.007,2015,1am000500,207,12.656,4487,54,-0.035,-0.007
2015,1am000501,826,12.464,19316,101,-0.016,0.006,2015,1am000501,826,12.464,19316,101,-0.016,0.006
2015,1am000502,181,12.405,4491,55,-0.067,0.017,2015,1am000502,181,12.405,4491,55,-0.067,0.017
2015,1am010000,164,14.283,2318,38,-0.030,0.026,2015,1am010000,164,14.283,2318,38,-0.030,0.026
2015,1am010001,337,12.837,5021,96,-0.002,-0.010,2015,1am010001,337,12.837,5021,96,-0.002,-0.010
2015,1am010100,225,12.870,4079,50,-0.059,-0.026,2015,1am010100,225,12.870,4079,50,-0.059,-0.026
