Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years),Year,BRA ID,Classes,Average Age,Enrolled,Total Schools,Nominal Enrollment Growth (1 year),Nominal Enrollment Growth (5 years)
2015,1ac,8702,12.426,206332,1502,-0.032,0.002,2015,1ac,8702,12.426,206332,1502,-0.032,0.002
2015,1am,37797,12.790,914668,5085,-0.041,-0.007,2015,1am,37797,12.790,914668,5085,-0.041,-0.007
2015,1ap,7743,12.525,176573,720,-0.028,-0.008,2015,1ap,7743,12.525,176573,720,-0.028,-0.008
2015,1pa,76554,12.802,1835423,10223,-0.024,-0.009,2015,1pa,76554,12.802,1835423,10223,-0.024,-0.009
2015,1ro,14595,12.091,342117,1099,-0.035,-0.009,2015,1ro,14595,12.091,342117,1099,-0.035,-0.009
2015,1rr,5522,12.178,114646,669,-0.022,0.006,2015,1rr,5522,12.178,114646,669,-0.022,0.006
2015,1to,13772,12.436,320779,1414,-0.014,-0.011,2015,1to,13772,12.436,320779,1414,-0.014,-0.011
2015,2al,24160,12.572,646693,2695,-0.053,-0.033,2015,2al,24160,12.572,646693,2695,-0.053,-0.033
2015,2ba,119015,12.836,2678786,16296,-0.043,-0.026,2015,2ba,119015,12.836,2678786,16296,-0.043,-0.026
2015,2ce,68522,12.444,1646592,6579,-0.045,-0.029,2015,2ce,68522,12.444,1646592,6579,-0.045,-0.029
2015,2ma,67131,12.549,1550420,11278,-0.017,-0.016,2015,2ma,67131,12.549,1550420,11278,-0.017,-0.016
2015,2pb,33141,12.367,711298,4804,-0.041,-0.026,2015,2pb,33141,12.367,711298,4804,-0.041,-0.026
2015,2pe,68632,12.547,1692567,8137,-0.084,-0.028,2015,2pe,68632,12.547,1692567,8137,-0.084,-0.028
2015,2pi,30037,12.794,649569,4480,-0.053,-0.032,2015,2pi,30037,12.794,649569,4480,-0.053,-0.032
2015,2rn,25377,12.760,616017,2936,-0.055,-0.024,2015,2rn,25377,12.760,616017,2936,-0.055,-0.024
2015,2se,17646,12.613,425882,1971,-0.043,-0.014,2015,2se,17646,12.613,425882,1971,-0.043,-0.014
2015,3df,19782,12.331,502653,889,-0.051,-0.014,2015,3df,19782,12.331,502653,889,-0.051,-0.014
2015,3go,45636,12.375,1143210,3611,-0.028,-0.012,2015,3go,45636,12.375,1143210,3611,-0.028,-0.012
2015,3ms,20202,12.311,497524,1198,-0.042,-0.014,2015,3ms,20202,12.311,497524,1198,-0.042,-0.014
2015,3mt,27707,12.462,621121,2106,-0.025,-0.005,2015,3mt,27707,12.462,621121,2106,-0.025,-0.005
2015,4es,26893,12.242,640789,2382,-0.063,-0.016,2015,4es,26893,12.242,640789,2382,-0.063,-0.016
2015,4mg,142112,12.432,3459024,11637,-0.062,-0.028,2015,4mg,142112,12.432,3459024,11637,-0.062,-0.028
2015,4rj,108827,12.530,2658098,8366,-0.079,-0.025,2015,4rj,108827,12.530,2658098,8366,-0.079,-0.025
2015,4sp,272857,12.199,7216912,16170,-0.078,-0.024,2015,4sp,272857,12.199,7216912,16170,-0.078,-0.024
2015,5pr,80377,12.143,1936741,6545,-0.041,-0.023,2015,5pr,80377,12.143,1936741,6545,-0.041,-0.023
2015,5rs,83074,12.484,1722605,6512,-0.068,-0.032,2015,5rs,83074,12.484,1722605,6512,-0.068,-0.032
2015,5sc,47383,12.226,1080029,3427,-0.051,-0.015,2015,5sc,47383,12.226,1080029,3427,-0.051,-0.015
